# Lake_Level.Moturiki@FI663578.19991231.csv generated at 2024-03-27 07:46:36 (UTC+13:00) by AQUARIUS Time-Series 23.3.44.0
# 
# Time-series identifier: Lake Level.Moturiki@FI663578
# Location: Lake Okaro At Reserve
# UTC offset: (UTC+12:00)
# Value units: m
# Value parameter: Lake Level
# Interpolation type: Instantaneous Values
# Time-series type: Derived
# 
# Export options: Corrected signal from 1999-12-31T12:00:00Z to 2024-03-25T12:00:00Z
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+12:00),Value,Approval Level,Grade,Qualifiers
2000-01-18T21:56:00Z,2000-01-19 09:56:00,411.622,Approved,200,
2000-03-05T23:07:00Z,2000-03-06 11:07:00,411.61,Approved,200,
2000-04-17T12:00:00Z,2000-04-18 00:00:00,411.665,Approved,200,
2000-05-23T22:18:00Z,2000-05-24 10:18:00,411.694,Approved,200,
2000-07-12T22:30:00Z,2000-07-13 10:30:00,411.667,Approved,200,
2000-09-29T00:20:00Z,2000-09-29 12:20:00,411.696,Approved,200,
2000-11-12T23:45:00Z,2000-11-13 11:45:00,411.679,Approved,200,
2000-12-20T18:50:00Z,2000-12-21 06:50:00,411.681,Approved,200,
2001-03-07T23:20:00Z,2001-03-08 11:20:00,411.659,Approved,200,
2001-04-25T21:20:00Z,2001-04-26 09:20:00,411.688030882885,Approved,200,
2001-06-12T22:00:00Z,2001-06-13 10:00:00,411.875061204582,Approved,200,
2001-07-23T23:28:00Z,2001-07-24 11:28:00,411.747087127966,Approved,200,
2001-09-04T22:40:00Z,2001-09-05 10:40:00,411.778114254398,Approved,200,
2001-10-18T03:55:00Z,2001-10-18 15:55:00,411.789141539979,Approved,200,
2001-11-25T22:30:00Z,2001-11-26 10:30:00,411.88116601962,Approved,200,
2002-01-07T22:30:00Z,2002-01-08 10:30:00,411.682193167096,Approved,200,
2002-02-18T22:06:00Z,2002-02-19 10:06:00,411.620219672713,Approved,200,
2002-05-12T21:45:00Z,2002-05-13 09:45:00,411.663272064449,Approved,200,
2002-06-26T20:15:00Z,2002-06-27 08:15:00,411.80730043514,Approved,200,
2002-08-06T22:50:00Z,2002-08-07 10:50:00,411.800326387899,Approved,200,
2002-09-15T20:45:00Z,2002-09-16 08:45:00,411.799351586562,Approved,200,
2002-10-29T20:45:00Z,2002-10-30 08:45:00,411.829379365375,Approved,200,
2002-12-04T19:00:00Z,2002-12-05 07:00:00,411.80540204746,Approved,200,
2003-01-16T21:10:00Z,2003-01-17 09:10:00,411.774429251932,Approved,200,
2003-03-03T21:00:00Z,2003-03-04 09:00:00,411.666458289034,Approved,200,
2003-04-10T03:25:00Z,2003-04-10 15:25:00,411.785481817285,Approved,200,
2003-06-03T22:00:00Z,2003-06-04 10:00:00,411.789516398312,Approved,200,
2003-07-07T23:30:00Z,2003-07-08 11:30:00,411.927537903217,Approved,200,
2003-08-21T23:15:00Z,2003-08-22 11:15:00,411.87656630679,Approved,200,
2003-09-30T22:05:00Z,2003-10-01 10:05:00,411.970591529566,Approved,200,
2003-11-04T22:13:00Z,2003-11-05 10:13:00,411.936613629857,Approved,200,
2003-12-22T22:10:00Z,2003-12-23 10:10:00,411.801643932701,Approved,200,
2004-02-03T22:00:00Z,2004-02-04 10:00:00,411.843671075793,Approved,200,
2004-03-21T23:22:00Z,2004-03-22 11:22:00,411.787700784567,Approved,200,
2004-04-29T23:00:00Z,2004-04-30 11:00:00,411.825725397052,Approved,200,
2004-06-07T23:20:00Z,2004-06-08 11:20:00,411.91775002795,Approved,200,
2004-07-26T23:10:00Z,2004-07-27 11:10:00,412.008780959062,Approved,200,
2004-09-02T23:05:00Z,2004-09-03 11:05:00,411.914804947663,Approved,200,
2004-10-10T23:44:00Z,2004-10-11 11:44:00,412.105828955554,Approved,200,
2004-11-22T22:24:00Z,2004-11-23 10:24:00,411.985856067956,Approved,200,
2005-01-10T22:05:00Z,2005-01-11 10:05:00,411.952886995122,Approved,200,
2005-02-14T23:48:00Z,2005-02-15 11:48:00,411.819909137064,Approved,200,
