# TP.LabResult@HL149408.19991024.csv generated at 2023-10-25 11:12:00 (UTC+13:00) by AQUARIUS Time-Series 23.2.146.0,,,,,
# ,,,,,
# Time-series identifier: TP.LabResult@HL149408,,,,,
# Location: Outlet at Waitangi Soda Springs,,,,,
# UTC offset: (UTC+12:00),,,,,
# Value units: g/m^3,,,,,
# Value parameter: TP,,,,,
# Interpolation type: Discrete Values,,,,,
# Time-series type: Reflected,,,,,
# ,,,,,
# Export options: Corrected signal from 1999-10-24T23:12:00.45Z to 2023-10-24T23:12:00.45Z,,,,,
# ,,,,,
# CSV data starts at line 15.,,,,,
# ,,,,,
ISO 8601 UTC,Timestamp (UTC+12:00),Value,Approval Level,Grade,Qualifiers
2001-08-29T19:55:00Z,30/08/2001 7:55,0.15099999,Validated,200,Labstar - Legacy Data
2002-01-30T20:15:00Z,31/01/2002 8:15,0.139,Validated,200,Labstar - Legacy Data
2002-03-25T21:52:00Z,26/03/2002 9:52,0.164,Validated,200,Labstar - Legacy Data
2002-04-23T23:00:00Z,24/04/2002 11:00,0.086000003,Validated,200,Labstar - Legacy Data
2002-06-17T21:50:00Z,18/06/2002 9:50,0.152,Validated,200,Labstar - Legacy Data
2002-08-13T22:05:00Z,14/08/2002 10:05,0.145,Validated,200,Labstar - Legacy Data
2002-10-08T22:10:00Z,9/10/2002 10:10,0.32600001,Validated,200,Labstar - Legacy Data
2002-12-19T19:45:00Z,20/12/2002 7:45,0.156,Validated,200,Labstar - Legacy Data
2003-04-15T22:50:00Z,16/04/2003 10:50,0.054000001,Validated,200,Labstar - Legacy Data
2003-12-11T22:02:00Z,12/12/2003 10:02,0.022,Validated,200,Labstar - Legacy Data
2004-02-03T20:30:00Z,4/02/2004 8:30,0.14300001,Validated,200,Labstar - Legacy Data
2004-04-17T23:05:00Z,18/04/2004 11:05,0.20100001,Validated,200,Labstar - Legacy Data
2004-06-01T22:00:00Z,2/06/2004 10:00,0.124,Validated,200,Labstar - Legacy Data
2005-02-01T01:00:00Z,1/02/2005 13:00,0.057999998,Validated,200,Labstar - Legacy Data
2005-03-30T22:00:00Z,31/03/2005 10:00,0.075000003,Validated,200,Labstar - Legacy Data
2005-05-29T12:00:00Z,30/05/2005 0:00,0.145,Validated,200,Labstar - Legacy Data
2005-08-03T23:06:00Z,4/08/2005 11:06,0.102,Validated,200,Labstar - Legacy Data
2005-09-27T23:00:00Z,28/09/2005 11:00,0.2,Validated,200,Labstar - Legacy Data
2006-05-29T12:00:00Z,30/05/2006 0:00,0.147,Validated,200,Labstar - Legacy Data
2006-06-22T12:00:00Z,23/06/2006 0:00,0.21699999,Validated,200,Labstar - Legacy Data
2006-09-27T12:00:00Z,28/09/2006 0:00,0.052999999,Validated,200,Labstar - Legacy Data
2007-02-14T00:05:00Z,14/02/2007 12:05,0.12,Validated,200,Labstar - Legacy Data
2007-03-19T00:50:00Z,19/03/2007 12:50,0.15000001,Validated,200,Labstar - Legacy Data
2007-05-11T00:20:00Z,11/05/2007 12:20,0.16,Validated,200,Labstar - Legacy Data
2007-07-05T00:10:00Z,5/07/2007 12:10,0.11,Validated,200,Labstar - Legacy Data
2007-08-30T02:15:00Z,30/08/2007 14:15,0.13500001,Validated,200,Labstar - Legacy Data
2007-09-12T01:20:00Z,12/09/2007 13:20,0.15800001,Validated,200,Labstar - Legacy Data
2007-12-17T00:00:00Z,17/12/2007 12:00,0.118,Validated,200,Labstar - Legacy Data
2008-02-13T12:00:00Z,14/02/2008 0:00,0.14399999,Validated,200,Labstar - Legacy Data
2008-03-18T23:00:00Z,19/03/2008 11:00,0.126,Validated,200,Labstar - Legacy Data
2008-04-14T02:05:00Z,14/04/2008 14:05,0.27200001,Validated,200,Labstar - Legacy Data
2008-05-23T00:05:00Z,23/05/2008 12:05,0.18000001,Validated,200,Labstar - Legacy Data
2008-06-25T23:50:00Z,26/06/2008 11:50,0.155,Validated,200,Labstar - Legacy Data
2009-02-11T00:35:00Z,11/02/2009 12:35,0.057,Validated,200,Labstar - Legacy Data
2009-04-16T01:45:00Z,16/04/2009 13:45,0.068000004,Validated,200,Labstar - Legacy Data
2009-06-12T00:55:00Z,12/06/2009 12:55,0.064000003,Validated,200,Labstar - Legacy Data
2009-08-04T23:40:00Z,5/08/2009 11:40,0.066,Validated,200,Labstar - Legacy Data
2009-08-05T00:42:00Z,5/08/2009 12:42,0.19,Validated,200,Labstar - Legacy Data
2009-10-06T01:15:00Z,6/10/2009 13:15,0.17,Validated,200,Labstar - Legacy Data
2009-12-03T01:10:00Z,3/12/2009 13:10,0.184,Validated,200,Labstar - Legacy Data
2010-02-10T01:10:00Z,10/02/2010 13:10,0.186,Validated,200,Labstar - Legacy Data
2010-04-20T02:15:00Z,20/04/2010 14:15,0.17200001,Validated,200,Labstar - Legacy Data
2010-06-09T02:30:00Z,9/06/2010 14:30,0.161,Validated,200,Labstar - Legacy Data
2010-08-04T02:00:00Z,4/08/2010 14:00,0.14300001,Validated,200,Labstar - Legacy Data
2010-10-18T01:25:00Z,18/10/2010 13:25,0.19599999,Validated,200,Labstar - Legacy Data
