# NNN.LabResult@HL149408.19991024.csv generated at 2023-10-25 11:12:00 (UTC+13:00) by AQUARIUS Time-Series 23.2.146.0,,,,,
# ,,,,,
# Time-series identifier: NNN.LabResult@HL149408,,,,,
# Location: Outlet at Waitangi Soda Springs,,,,,
# UTC offset: (UTC+12:00),,,,,
# Value units: g/m^3,,,,,
# Value parameter: NNN,,,,,
# Interpolation type: Discrete Values,,,,,
# Time-series type: Reflected,,,,,
# ,,,,,
# Export options: Corrected signal from 1999-10-24T23:12:00.45Z to 2023-10-24T23:12:00.45Z,,,,,
# ,,,,,
# CSV data starts at line 15.,,,,,
# ,,,,,
ISO 8601 UTC,Timestamp (UTC+12:00),Value,Approval Level,Grade,Qualifiers
2001-08-29T19:55:00Z,30/08/2001 7:55,0.28999999,Validated,200,Labstar - Legacy Data
2002-01-30T20:15:00Z,31/01/2002 8:15,0.20999999,Validated,200,Labstar - Legacy Data
2002-03-25T21:52:00Z,26/03/2002 9:52,0.183,Validated,200,Labstar - Legacy Data
2002-04-23T23:00:00Z,24/04/2002 11:00,0.198,Validated,200,Labstar - Legacy Data
2002-06-17T21:50:00Z,18/06/2002 9:50,0.19400001,Validated,200,Labstar - Legacy Data
2002-08-13T22:05:00Z,14/08/2002 10:05,0.257,Validated,200,Labstar - Legacy Data
2002-10-08T22:10:00Z,9/10/2002 10:10,0.21799999,Validated,200,Labstar - Legacy Data
2002-12-19T19:45:00Z,20/12/2002 7:45,0.189,Validated,200,Labstar - Legacy Data
2003-04-15T22:50:00Z,16/04/2003 10:50,0.204,Validated,200,Labstar - Legacy Data
2003-12-11T22:02:00Z,12/12/2003 10:02,0.22,Validated,200,Labstar - Legacy Data
2004-02-03T20:30:00Z,4/02/2004 8:30,0.20299999,Validated,200,Labstar - Legacy Data
2004-04-17T23:05:00Z,18/04/2004 11:05,0.214,Validated,200,Labstar - Legacy Data
2004-06-01T22:00:00Z,2/06/2004 10:00,0.28999999,Validated,200,Labstar - Legacy Data
2005-02-01T01:00:00Z,1/02/2005 13:00,0.18099999,Validated,200,Labstar - Legacy Data
2005-03-30T22:00:00Z,31/03/2005 10:00,0.204,Validated,200,Labstar - Legacy Data
2005-05-29T12:00:00Z,30/05/2005 0:00,0.347,Validated,200,Labstar - Legacy Data
2005-08-03T23:06:00Z,4/08/2005 11:06,2.54,Validated,200,Labstar - Legacy Data
2005-09-27T23:00:00Z,28/09/2005 11:00,0.41100001,Validated,200,Labstar - Legacy Data
2006-05-29T12:00:00Z,30/05/2006 0:00,0.011,Validated,200,Labstar - Legacy Data
2006-06-22T12:00:00Z,23/06/2006 0:00,0.02,Validated,200,Labstar - Legacy Data
2006-09-27T12:00:00Z,28/09/2006 0:00,0.461,Validated,200,Labstar - Legacy Data
2007-02-14T00:05:00Z,14/02/2007 12:05,0.32800001,Validated,200,Labstar - Legacy Data
2007-03-19T00:50:00Z,19/03/2007 12:50,0.25999999,Validated,200,Labstar - Legacy Data
2007-07-05T00:10:00Z,5/07/2007 12:10,0.228,Validated,200,Labstar - Legacy Data
2007-08-30T02:15:00Z,30/08/2007 14:15,0.32499999,Validated,200,Labstar - Legacy Data
